Position,Name,Salary,GameInfo,AvgPointsPerGame,teamAbbrev,SG,C,SF,PF,PG
PF/C,Quincy Acy,3700,LAL@BKN 02/02/2018 07:30PM ET,13.527000000000001,BKN,0,1,0,1,0
PG/SG,Matthew Dellavedova,3700,NY@MIL 02/02/2018 08:00PM ET,13.007,MIL,1,0,0,0,1
SF/PF,Dante Cunningham,3700,NO@OKC 02/02/2018 09:00PM ET,12.321,NO,0,0,1,1,0
C,Miles Plumlee,3700,ATL@BOS 02/02/2018 07:30PM ET,12.148,ATL,0,1,0,0,0
PF/C,Jakob Poeltl,3600,POR@TOR 02/02/2018 07:30PM ET,16.070999999999998,TOR,0,1,0,1,0
PG/SG,Malcolm Delaney,3600,ATL@BOS 02/02/2018 07:30PM ET,13.878,ATL,1,0,0,0,1
PG/SG,Ian Clark,3600,NO@OKC 02/02/2018 09:00PM ET,10.335,NO,1,0,0,0,1
PF,Pascal Siakam,3500,POR@TOR 02/02/2018 07:30PM ET,17.052,TOR,0,0,0,1,0
PF/C,David West,3500,GS@SAC 02/02/2018 10:30PM ET,16.765,GS,0,1,0,1,0
SG/SF,C.J. Miles,3500,POR@TOR 02/02/2018 07:30PM ET,16.25,TOR,1,0,1,0,0
PF/C,Al Jefferson,3500,IND@CHA 02/02/2018 07:00PM ET,14.967,IND,0,1,0,1,0
PG/SG,Frank Ntilikina,3500,NY@MIL 02/02/2018 08:00PM ET,14.934000000000001,NY,1,0,0,0,1
PG/SG,Markelle Fultz,3500,MIA@PHI 02/02/2018 08:00PM ET,12.187999999999999,PHI,1,0,0,0,1
PF,Jared Dudley,3500,UTA@PHO 02/02/2018 09:00PM ET,10.663,PHO,0,0,0,1,0
SG/SF,Justin Jackson,3500,GS@SAC 02/02/2018 10:30PM ET,10.014,SAC,1,0,1,0,0
PG/SG,Raymond Felton,3400,NO@OKC 02/02/2018 09:00PM ET,14.75,OKC,1,0,0,0,1
PF/C,Mike Muscala,3400,ATL@BOS 02/02/2018 07:30PM ET,13.909,ATL,0,1,0,1,0
PG/SG,Trey Burke,3400,NY@MIL 02/02/2018 08:00PM ET,13.905999999999999,NY,1,0,0,0,1
PF/C,Dragan Bender,3400,UTA@PHO 02/02/2018 09:00PM ET,13.284,PHO,0,1,0,1,0
PG,Michael Carter-Williams,3400,IND@CHA 02/02/2018 07:00PM ET,12.599,CHA,0,0,0,0,1
SG/SF,Pat Connaughton,3400,POR@TOR 02/02/2018 07:30PM ET,12.588,POR,1,0,1,0,0
